antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Best Director', 'Best Supporting Actress', 'Best Cinematography'})","frozenset({'Best Supporting Actor', 'Best Picture', 'Best Actor'})",0.040087863811092805,0.051070840197693576,0.014277869302580999,0.3561643835616438,6.973928413610252,1.0,0.012230548416017775,1.473868695012093,0.8923825030804436,0.18571428571428572,0.32151350837138504,0.31786713801738103
"frozenset({'Best Supporting Actor', 'Best Picture', 'Best Actor'})","frozenset({'Best Director', 'Best Supporting Actress', 'Best Cinematography'})",0.051070840197693576,0.040087863811092805,0.014277869302580999,0.27956989247311825,6.973928413610252,1.0,0.012230548416017775,1.3324153532174383,0.9027110042735043,0.18571428571428572,0.24948328043109175,0.31786713801738103
"frozenset({'Best Supporting Actress', 'Best Original Screenplay', 'Best Actor'})","frozenset({'Best Director', 'Best Supporting Actor'})",0.017023613399231193,0.09060955518945635,0.01043382756727073,0.6129032258064515,6.764222873900292,1.0,0.008891325529449122,2.349258649093904,0.8669214936783298,0.10734463276836158,0.5743338008415146,0.3640273704789833
"frozenset({'Best Director', 'Best Supporting Actor'})","frozenset({'Best Supporting Actress', 'Best Original Screenplay', 'Best Actor'})",0.09060955518945635,0.017023613399231193,0.01043382756727073,0.11515151515151514,6.764222873900292,1.0,0.008891325529449122,1.110897971158403,0.9370709382151029,0.10734463276836158,0.09982732351447433,0.3640273704789833
"frozenset({'Best Picture', 'Best Supporting Actress', 'Best Original Screenplay'})","frozenset({'Best Director', 'Best Supporting Actor'})",0.026908292147171883,0.09060955518945635,0.016474464579901153,0.6122448979591837,6.7569573283859,1.0,0.014036316197537967,2.345270094511402,0.8755643340857786,0.16304347826086954,0.5736098787341023,0.3970315398886827
"frozenset({'Best Director', 'Best Supporting Actor'})","frozenset({'Best Picture', 'Best Supporting Actress', 'Best Original Screenplay'})",0.09060955518945635,0.026908292147171883,0.016474464579901153,0.1818181818181818,6.756957328385899,1.0,0.014036316197537967,1.189334309597901,0.9368961352657005,0.16304347826086954,0.15919351528832337,0.3970315398886827
"frozenset({'Best Picture', 'Best Supporting Actress', 'Best Cinematography'})","frozenset({'Best Director', 'Best Supporting Actor', 'Best Actor'})",0.04557935200439319,0.046677649643053265,0.014277869302580999,0.3132530120481928,6.7109851169383425,1.0,0.012150332278762535,1.3881711417478348,0.8916305213773568,0.18309859154929575,0.2796277274998612,0.30956768249468464
"frozenset({'Best Director', 'Best Supporting Actor', 'Best Actor'})","frozenset({'Best Picture', 'Best Supporting Actress', 'Best Cinematography'})",0.046677649643053265,0.04557935200439319,0.014277869302580999,0.3058823529411765,6.710985116938342,1.0,0.012150332278762535,1.3750127979597726,0.8926577454803261,0.18309859154929575,0.2727340418330739,0.30956768249468464
"frozenset({'Best Director', 'Best Supporting Actor'})","frozenset({'Best Picture', 'Best Supporting Actress', 'Best Cinematography', 'Best Actor'})",0.09060955518945635,0.025260845689181768,0.014277869302580999,0.15757575757575756,6.2379446640316205,1.0,0.011988995310974743,1.1570644637502518,0.923355629877369,0.14054054054054052,0.1357439180537772,0.3613965744400527
"frozenset({'Best Picture', 'Best Supporting Actress', 'Best Cinematography', 'Best Actor'})","frozenset({'Best Director', 'Best Supporting Actor'})",0.025260845689181768,0.09060955518945635,0.014277869302580999,0.5652173913043478,6.23794466403162,1.0,0.011988995310974743,2.0915980230642504,0.8614517876489707,0.14054054054054052,0.5218966603654693,0.3613965744400527
"frozenset({'Best Director', 'Best Supporting Actress'})","frozenset({'Best Cinematography', 'Best Supporting Actor', 'Best Picture', 'Best Actor'})",0.08182317408017573,0.02800658978583196,0.014277869302580999,0.174496644295302,6.230556652191078,1.0,0.011986281231142799,1.1774554318854555,0.9143126610231873,0.14942528735632185,0.15071095438516666,0.3421502829319647
"frozenset({'Best Cinematography', 'Best Supporting Actor', 'Best Picture', 'Best Actor'})","frozenset({'Best Director', 'Best Supporting Actress'})",0.02800658978583196,0.08182317408017573,0.014277869302580999,0.5098039215686274,6.230556652191077,1.0,0.011986281231142799,1.8730807248764414,0.8636897001303782,0.14942528735632185,0.46612018012946804,0.3421502829319647
"frozenset({'Best Supporting Actor', 'Best Supporting Actress', 'Best Picture'})","frozenset({'Best Director', 'Best Cinematography', 'Best Actor'})",0.04228445908841296,0.054914881933003847,0.014277869302580999,0.33766233766233766,6.148831168831169,1.0,0.011955823224139869,1.4268932174737001,0.8743383909668313,0.17218543046357615,0.2991767094033218,0.2988311688311688
"frozenset({'Best Director', 'Best Cinematography', 'Best Actor'})","frozenset({'Best Supporting Actor', 'Best Supporting Actress', 'Best Picture'})",0.054914881933003847,0.04228445908841296,0.014277869302580999,0.25999999999999995,6.148831168831167,1.0,0.011955823224139869,1.2942101904210637,0.8860233316944531,0.17218543046357615,0.22732798165137608,0.2988311688311688
"frozenset({'Best Supporting Actor', 'Best Original Screenplay', 'Best Actor'})","frozenset({'Best Director', 'Best Supporting Actress'})",0.02086765513454146,0.08182317408017573,0.01043382756727073,0.5,6.110738255033557,1.0,0.008726369788552072,1.8363536518396486,0.8541783510936625,0.11309523809523808,0.4554425837320574,0.313758389261745
